;Borough;Block;Lot;CD;BCT2020;BCTCB2020;CT2010;CB2010;SchoolDist;Council;ZipCode;FireComp;PolicePrct;HealthCent;HealthArea;Sanitboro;SanitDistr;SanitSub;Address;ZoneDist1;ZoneDist2;ZoneDist3;ZoneDist4;Overlay1;Overlay2;SPDist1;SPDist2;SPDist3;LtdHeight;SplitZone;BldgClass;LandUse;Easements;OwnerType;OwnerName;LotArea;BldgArea;ComArea;ResArea;OfficeArea;RetailArea;GarageArea;StrgeArea;FactryArea;OtherArea;AreaSource;NumBldgs;NumFloors;UnitsRes;UnitsTotal;LotFront;LotDepth;BldgFront;BldgDepth;Ext;ProxCode;IrrLotCode;LotType;BsmtCode;AssessLand;AssessTot;ExemptTot;YearBuilt;YearAlter1;YearAlter2;HistDist;Landmark;BuiltFAR;ResidFAR;CommFAR;FacilFAR;BoroCode;BBL;CondoNo;Tract2010;XCoord;YCoord;ZoneMap;ZMCode;Sanborn;TaxMap;EDesigNum;APPBBL;APPDate;PLUTOMapID;FIRM07_FLA;PFIRM15_FL;Version;DCPEdited;Latitude;Longitude;Notes;Shape_Leng;Shape_Area;guid
817;BK;8273;220;318;3105804;31058041000;1058.04;1000;;42;0;;0;0;0;;;;AVENUE N;R5;;;;;;;;;;N;V1;11;1;C;NYC DEPARTMENT OF PARKS AND RECREATION;680000;0;0;0;0;0;0;0;0;0;7;0;0.0;0;0;400.0;850.0;0.0;0.0;N;0;N;5;0;802800.0;802800.0;802800.0;0;0;0;;;0.0;1.25;0.0;2.0;3;3082730220.0;0;105804;1017232;172813;23c;;317 098;32406;;0.0;;1;1;1;23v2;t;40.6409469;-73.8811572;;0.0;17489.3390339;dd96c16c-e4e9-4f43-9a6c-de5c8e32ada2
817;BK;8273;220;318;3105804;31058041000;1058.04;1000;;42;0;;0;0;0;;;;AVENUE N;R5;;;;;;;;;;N;V1;11;1;C;NYC DEPARTMENT OF PARKS AND RECREATION;680000;0;0;0;0;0;0;0;0;0;7;0;0.0;0;0;400.0;850.0;0.0;0.0;N;0;N;5;0;802800.0;802800.0;802800.0;0;0;0;;;0.0;1.25;0.0;2.0;3;3082730220.0;0;105804;1017232;172813;23c;;317 098;32406;;0.0;;1;1;1;23v2;t;40.6409469;-73.8811572;;0.0;17489.3390339;f0740889-5a96-bb49-9036-3d4eb331a6df
984;BK;8235;20;318;3101800;31018001000;1018;1000;;46;0;;0;0;0;;;;FLATLANDS AVENUE;R5;;;;C2-1;;;;;;N;V3;11;1;C;NYC DEPARTMENT OF PARKS AND RECREATION;240550;0;0;0;0;0;0;0;0;0;7;0;0.0;0;0;130.42;27.0;0.0;0.0;;0;Y;5;0;971640.0;971640.0;971640.0;0;0;0;;;0.0;1.25;0.0;2.0;3;3082350020.0;0;1018;1014714;175587;23c;Y;317 083;32406;;0.0;;1;1;1;23v2;t;40.64857;-73.8902177;;0.0;58202.2246566;c88578bb-8ebe-a845-be45-e2f4e42efae8
984;BK;8235;20;318;3101800;31018001000;1018;1000;;46;0;;0;0;0;;;;FLATLANDS AVENUE;R5;;;;C2-1;;;;;;N;V3;11;1;C;NYC DEPARTMENT OF PARKS AND RECREATION;240550;0;0;0;0;0;0;0;0;0;7;0;0.0;0;0;130.42;27.0;0.0;0.0;;0;Y;5;0;971640.0;971640.0;971640.0;0;0;0;;;0.0;1.25;0.0;2.0;3;3082350020.0;0;1018;1014714;175587;23c;Y;317 083;32406;;0.0;;1;1;1;23v2;t;40.64857;-73.8902177;;0.0;58202.2246566;fb5be35e-8867-e84a-b13f-335ccd559685
984;BK;8235;20;318;3101800;31018001000;1018;1000;;46;0;;0;0;0;;;;FLATLANDS AVENUE;R5;;;;C2-1;;;;;;N;V3;11;1;C;NYC DEPARTMENT OF PARKS AND RECREATION;240550;0;0;0;0;0;0;0;0;0;7;0;0.0;0;0;130.42;27.0;0.0;0.0;;0;Y;5;0;971640.0;971640.0;971640.0;0;0;0;;;0.0;1.25;0.0;2.0;3;3082350020.0;0;1018;1014714;175587;23c;Y;317 083;32406;;0.0;;1;1;1;23v2;t;40.64857;-73.8902177;;0.0;58202.2246566;ecc864fd-2aba-594e-babe-c2957ae8750e
984;BK;8235;20;318;3101800;31018001000;1018;1000;;46;0;;0;0;0;;;;FLATLANDS AVENUE;R5;;;;C2-1;;;;;;N;V3;11;1;C;NYC DEPARTMENT OF PARKS AND RECREATION;240550;0;0;0;0;0;0;0;0;0;7;0;0.0;0;0;130.42;27.0;0.0;0.0;;0;Y;5;0;971640.0;971640.0;971640.0;0;0;0;;;0.0;1.25;0.0;2.0;3;3082350020.0;0;1018;1014714;175587;23c;Y;317 083;32406;;0.0;;1;1;1;23v2;t;40.64857;-73.8902177;;0.0;58202.2246566;f1e8a2af-ccfc-3648-9595-395b99a4d68b
986;BK;8235;190;318;3105804;31058041000;1058.04;1000;;42;0;;0;0;0;;;;AVENUE L;R5;;;;;;;;;;N;V0;11;1;C;NYC DEPARTMENT OF PARKS AND RECREATION;238700;0;0;0;0;0;0;0;0;0;7;0;0.0;0;0;560.5;1990.0;0.0;0.0;;0;Y;5;0;943020.0;943020.0;943020.0;0;0;0;;;0.0;1.25;0.0;2.0;3;3082350190.0;0;105804;1015408;175220;23c;;317 084;32406;;0.0;;1;1;1;23v2;t;40.6475602;-73.8877185;;0.0;244464.606507;4b5e2dd0-1a8c-6f4e-8996-1380dbb66c0f
986;BK;8235;190;318;3105804;31058041000;1058.04;1000;;42;0;;0;0;0;;;;AVENUE L;R5;;;;;;;;;;N;V0;11;1;C;NYC DEPARTMENT OF PARKS AND RECREATION;238700;0;0;0;0;0;0;0;0;0;7;0;0.0;0;0;560.5;1990.0;0.0;0.0;;0;Y;5;0;943020.0;943020.0;943020.0;0;0;0;;;0.0;1.25;0.0;2.0;3;3082350190.0;0;105804;1015408;175220;23c;;317 084;32406;;0.0;;1;1;1;23v2;t;40.6475602;-73.8877185;;0.0;244464.606507;27b40c23-83eb-df4f-a262-81e4bd916bf5
367;BK;2467;10;103;1001001;10010010003;10.01;0001;;2;0;;0;0;0;;;;380 KENT AVENUE;M3-1;;;;;;;;;;N;V1;11;0;C;NYC DEPARTMENT OF CITYWIDE ADMINISTRATIVE SERVICES;121875;0;0;0;0;0;0;0;0;0;7;0;0.0;0;0;250.0;490.0;0.0;0.0;N;0;Y;5;0;292500.0;292500.0;292500.0;0;0;0;;;0.0;0.0;2.0;0.0;3;3024670010.0;0;001001;992699;198576;12d;;303 006;30806;;0.0;;1;1;1;23v2;t;40.7117179;-73.9695237;;0.0;10777.0197833;660ffe0b-bae4-3c4c-9d32-b74e20f95464
966;BK;6992;28;313;3034800;30348001018;348;1008;;47;0;;0;0;0;;;;CONEY ISLAND AVENUE;M3-1;;;;;;;;;;N;V9;11;0;C;DEPARTMENT OF SMALL BUSINESS ERVICES;106816;0;0;0;0;0;0;0;0;0;7;2;0.0;0;0;200.0;100.83;0.0;0.0;;0;Y;5;5;4058100.0;4058100.0;4058100.0;0;0;0;;;0.0;0.0;2.0;0.0;3;3069920028.0;0;0348;987822;150598;28d;;318 061;32103;;0.0;;1;1;1;23v2;;40.580032;-73.9871409;;0.0;12380.7385127;b6596b17-370f-774a-99c7-d4287bfc5734
