;OBJECTID;DBH;TPStructur;TPConditio;StumpDiame;PlantingSp;Geometry;GlobalID;GenusSpeci;CreatedDat;UpdatedDat;PlantedDat;RiskRating;RiskRati_1;Location;geometry;guid
18604;2123139;5.0;Full;Good;0.0;6D59A0E9-0388-4085-9DA2-87EDAE11633C;POINT (-73.9791701089120295 40.7358042197299426);9E3B1100-0CD2-40B5-8FF3-C6FB2CCAE0C7;Zelkova serrata - Japanese zelkova;2016-01-05 13:00:59.0000000;2018-08-02 14:03:25.0000000;;3.0;;POINT (-73.97917010891203 40.73580421972994);POINT (990022.6275002359 207350.59812513355);8079d796-6d7f-8843-b313-852bc1b32a8f
19995;2123142;11.0;Full;Good;0.0;D0ED6096-8C89-4D49-B1F3-DE1A14A1598C;POINT (-73.9793410289060631 40.7355631136479772);44197A25-5CE8-4E2E-8AE4-6145005B963F;Gleditsia triacanthos var. inermis - Thornless honeylocust;2016-01-05 13:00:59.0000000;2018-08-02 14:07:07.0000000;;3.0;;POINT (-73.97934102890606 40.73556311364798);POINT (989975.280833553 207262.74437512766);7946350f-063c-1d47-8810-4c051f351f1e
23203;2123141;4.0;Full;Good;0.0;52709751-E3D5-4520-99E1-9B1F6120EB7D;POINT (-73.9792766347266166 40.7356539516979339);5E720407-3DDB-430E-84FB-F4F9C855B1A9;Zelkova serrata - Japanese zelkova;2016-01-05 13:00:59.0000000;2018-08-02 14:05:42.0000000;;3.0;;POINT (-73.97927663472662 40.735653951697934);POINT (989993.1187502281 207295.84375012797);edcddd60-d429-0b47-946f-9da0cc9191cd
25758;2123140;6.0;Full;Good;0.0;8EC55AE5-7C9A-4A68-8FF2-075F115CCADA;POINT (-73.9792201176382775 40.7357336760252551);7E406052-E5CA-45E0-AA1E-27DD927DD71B;Zelkova serrata - Japanese zelkova;2016-01-05 13:00:59.0000000;2018-08-02 14:04:33.0000000;;3.0;;POINT (-73.97922011763828 40.735733676025255);POINT (990008.7745835582 207324.8935417883);98a1eb28-56d6-3b48-97fc-48f59b1f8d65
25735;2123138;10.0;Full;Dead;;9CAB178A-3C28-4990-8461-38FABF126ACC;POINT (-73.9791094814433023 40.7358897432644724);0D567EF2-8D45-4720-AC71-3841BC3DB7BE;Gleditsia triacanthos var. inermis - Thornless honeylocust;2016-01-05 13:00:59.0000000;2023-07-17 15:06:35.0000000;;5.0;2023-07-17 15:06:35.0000000;POINT (-73.9791094814433 40.73588974326447);POINT (990039.4218752229 207381.76104179423);27d995b1-b001-7543-bd97-da20962dcf22
19905;2123137;4.0;Full;Good;0.0;7AD8B08D-3982-41FE-8720-D56A8122C029;POINT (-73.9790221375435806 40.7360129542256288);11C03006-49FF-45BC-91C5-D808B42C3566;Gleditsia triacanthos var. inermis - Thornless honeylocust;2016-01-05 13:00:58.0000000;2018-08-02 14:00:01.0000000;;3.0;;POINT (-73.97902213754358 40.73601295422563);POINT (990063.616875228 207426.6564584595);a8027d8f-edaf-e942-aace-4b62ab43275a
51456;5456072;4.0;Full;Good;;C1DB1B0D-E03B-47C0-8075-B266AF64F6C3;POINT (-73.9780535088667222 40.7376652350176798);4F72B50C-0AF6-4F34-B35C-35CF82EABC25;Zelkova serrata - Japanese zelkova;2018-08-16 10:32:43.0000000;2018-08-16 14:33:02.0000000;;3.0;;POINT (-73.97805350886672 40.73766523501768);POINT (990331.9031252264 208028.7002084629);c4f32c83-673b-254e-8325-9badbc764f44
41050;4867647;6.0;Retired;Dead;6.0;891F33EC-D486-44DE-B576-C9F3C0BD191B;POINT (-73.9747717092141102 40.7421637249870301);8B095D65-86AD-472C-A5C0-FCD0184295F8;Styphnolobium japonicum - Japanese pagoda tree;2017-02-27 15:21:41.0000000;2017-04-11 12:08:39.0000000;;3.0;;POINT (-73.97477170921411 40.74216372498703);POINT (991240.897083564 209667.8875001191);ee8f82a2-0c5a-0d49-8a6c-9fac3ceda7e4
25531;2127433;6.0;Retired;Dead;6.0;B8DF4E2D-5CBD-423D-A5EB-B20717742B13;POINT (-73.9747372339000719 40.7422089869487891);03703AC6-FE35-4873-B10A-AED69B5917F7;Styphnolobium japonicum - Japanese pagoda tree;2016-01-05 13:21:00.0000000;2017-04-11 12:08:10.0000000;;3.0;;POINT (-73.97473723390007 40.74220898694879);POINT (991250.4456252306 209684.38062513093);c5159b52-74e3-9b46-8de6-67f1c2292992
53081;6659462;3.0;Full;Fair;;3298E6E1-4DF9-4D55-B1ED-4CA1B7625ABA;POINT (-73.9730263174042335 40.7445637062943860);C86A71FC-57E6-433C-8461-ACA23F14F3D6;Zelkova serrata - Japanese zelkova;2019-08-26 10:59:31.0000000;2019-08-26 14:59:51.0000000;;3.0;2019-08-26 10:59:50.0000000;POINT (-73.97302631740423 40.744563706294386);POINT (991724.2854168963 210542.42125012339);ae6728dc-8734-9b4d-a01d-425f077c0809
53927;6659461;5.0;Stump;Dead;5.0;548D761A-C7DE-4D61-9935-B61A9A788FED;POINT (-73.9726972011696517 40.7450127470179382);68DF4938-25E2-4DD9-81B4-140FB93DCB59;Zelkova serrata - Japanese zelkova;2019-08-26 11:02:00.0000000;2023-09-18 16:50:00.0000000;;3.0;2019-08-26 11:03:00.0000000;POINT (-73.97269720116965 40.74501274701794);POINT (991815.4310418919 210706.04937512096);7d62070c-ea11-534c-bfb7-4414659d0fca
53531;6660240;3.0;Stump;Critical;;87ADD79A-82CB-456B-916E-9A68C70E7021;POINT (-73.9725745349771699 40.7451772707671651);269FF478-ED0F-4189-8D46-8C0879FDF1E5;Zelkova serrata - Japanese zelkova;2019-08-27 10:11:00.0000000;2021-06-02 13:15:00.0000000;;6.0;2021-06-02 11:01:00.0000000;POINT (-73.97257453497717 40.745177270767165);POINT (991849.4022918947 210766.0012501236);130fbbff-129f-9d44-9de8-8f2f2a552248
53254;6660239;6.0;Stump;Dead;6.0;CC2F6961-2296-4CFA-8B88-C4E676662CD4;POINT (-73.9721231668385428 40.7457906796962988);3A19FAE8-DED4-46CB-9435-7F102803BBF1;Zelkova serrata - Japanese zelkova;2019-08-27 10:41:00.0000000;2023-03-01 19:18:56.0000000;;5.0;2019-09-17 10:17:00.0000000;POINT (-73.97212316683854 40.7457906796963);POINT (991974.4020835626 210989.52520846407);d6355ff9-5ce1-bd4b-9103-e2de7faaa98a
56005;12151831;4.0;Full;Fair;;9DEDBB78-8CF3-45B4-9C2E-545FAFB774EC;POINT (-73.9694688739503619 40.7494133192478074);61CC1530-117D-4463-B523-0857FF297CBF;Cladrastis kentukea - Kentucky yellowwood;2021-12-03 13:49:07.0000000;2021-12-03 13:49:19.0000000;;3.0;2021-12-03 13:49:19.0000000;POINT (-73.96946887395036 40.74941331924781);POINT (992709.4210418924 212309.61416680578);273698a7-1196-dc46-951d-bacd54ada8aa
55201;12151840;4.0;Full;Good;;657576FE-CA4A-4671-B17F-94E10C24E6A0;POINT (-73.9693025412173171 40.7496321601170521);ED6A33B0-6E47-46C6-8DD1-0D851C7E5F25;Zelkova serrata - Japanese zelkova;2021-12-03 13:51:04.0000000;2021-12-03 13:51:20.0000000;;3.0;2021-12-03 13:51:20.0000000;POINT (-73.96930254121732 40.74963216011705);POINT (992755.4797918905 212389.3610417947);01326a15-cee6-ec4d-959f-d5e6d9ebdaf5
55286;12151836;4.0;Full;Fair;;338FD454-06CA-4B6C-84BE-DF9433BF8C44;POINT (-73.9690114724297274 40.7500394656679887);6B094AEE-A2E0-41A4-BD35-263C86467AA4;Zelkova serrata - Japanese zelkova;2021-12-03 13:55:47.0000000;2021-12-03 13:56:19.0000000;;4.0;2021-12-03 13:56:19.0000000;POINT (-73.96901147242973 40.75003946566799);POINT (992836.075000228 212537.78395845147);b191fc95-4554-ff4e-be7e-19556e47ca87
55947;12151835;5.0;Full;Fair;;1216C9BD-38F7-4F77-AE80-3D776F207A3B;POINT (-73.9688708610558336 40.7502389022991096);653DFAA6-409C-4C83-8CD5-94A9C83B2A7C;Zelkova serrata - Japanese zelkova;2021-12-03 13:58:06.0000000;2021-12-03 13:58:17.0000000;;4.0;2021-12-03 13:58:17.0000000;POINT (-73.96887086105583 40.75023890229911);POINT (992875.008750229 212610.45895846773);305c3f6e-7e37-1349-b36b-4adbea12f06b
55871;12151842;5.0;Full;Good;;21526ABF-768E-463F-9363-EB3F5B9FC33C;POINT (-73.9684157286795170 40.7508605695262673);2E392C57-B6C3-4619-A0FD-2189C0F4D1AA;Zelkova serrata - Japanese zelkova;2021-12-03 14:00:41.0000000;2021-12-03 14:00:53.0000000;;3.0;2021-12-03 14:00:53.0000000;POINT (-73.96841572867952 40.75086056952627);POINT (993001.0314585584 212836.99750012706);109b5231-9633-b94b-bad3-bef497785109
